x,y,score,im_path,prompt
0.3469797,0.4650991,0.26065528869628907,train/00000045.jpg,Oil on canvas painting by John Singer Sargent of one billion parrots in flight.
0.32060272,0.6635191,0.23083576202392578,train/00000136.jpg,A Goku Lego in 3D render.
0.5643739,0.25239444,0.2618733978271484,train/00000188.jpg,a woman standing over a kitchen sink preparing food.
0.7537108,0.4879171,0.2915717315673828,train/00000302.jpg,there are many giraffes that are standing by a fence
0.25699955,0.4790786,0.2422677230834961,train/00000364.jpg,A kraken with translucent fangs swims in space eating a planet while the background displays stars and a nebula.
0.47663102,0.6801173,0.27891427993774415,train/00000718.jpg,"A male explorer is portrayed in a highly detailed digital painting illustration by artgerm, Greg Rutkowski, and Alphonse Mucha on ArtStation."
0.8413191,0.34339547,0.2787474060058594,train/00000760.jpg,A man wearing a red arctic coat snow skiing down a snow covered hill.
0.4717077,0.83633,0.2829599952697754,train/00000855.jpg,A psychedelic witch in front of a highly intricate and detailed backdrop.
0.21120492,0.45368496,0.24486679077148438,train/00000971.jpg,An abandoned movie theatre hallway with high-contrast neon lighting showcasing a low-poly Playstation 1 game.
0.27655008,0.49864626,0.2524293327331543,train/00000973.jpg,"A vertical digital painting showcasing an intricate and beautiful abstract design with a grunge style, featuring a dark color scheme of blue, dark red, and dark purple gradient."
0.20251702,0.5228272,0.25670156478881834,train/00001244.jpg,The image is of glass candle grenades.
0.44727057,0.5055931,0.28018358230590823,train/00001339.jpg,A mechanical dinosaur sculpture made from chrome wires and tubes in a black studio.
0.83031005,0.28994715,0.29020864486694337,train/00001342.jpg,A man on a motorcycle dressed in black leather.
0.4405015,0.24105243,0.25986236572265625,train/00001423.jpg,a table with a plant and some fruit on it 
0.67637736,0.29924983,0.30003231048583984,train/00001490.jpg,Two men at a cafe looking at something.
0.73277533,0.36203945,0.2876681137084961,train/00001545.jpg,a man and his dog riding in a green convertible 
0.32577708,0.50115925,0.2662229537963867,train/00001589.jpg,A painted representation of a speculative evolution of a monarch butterfly by Dougal Dixon.
0.2575611,0.48508525,0.2429296875,train/00001616.jpg,"A piece of lace jewelry arranged in a swirling, fractal pattern with sparkling gems."
0.56390387,0.44875225,0.2547795486450195,train/00002232.jpg,"Monkeys in suits sitting around a conference table with microphones, in front of a blue backdrop."
0.6544052,0.13444266,0.2586575126647949,train/00002353.jpg,The church tower has a clock displayed for the people.
0.3888985,0.5371138,0.2480476188659668,train/00002786.jpg,"An old brick house monster stomping menacingly, people are running away in panic screaming."
0.47708493,0.8288376,0.2837385749816895,train/00002869.jpg,"Young female fire angel with white hair and flames, depicted in a highly detailed and intricate digital painting."
0.5988484,0.5556179,0.2717641830444336,train/00003233.jpg,"The image is a portrait of a faun with furry ears and paws, wearing a collar and antlers, alongside a skunk, mummy wraith, and various other surreal elements."
0.5637343,0.26814434,0.2738543701171875,train/00003593.jpg,A little girl cutting up food on a  cutting board.
0.2653097,0.658612,0.2315285873413086,train/00003636.jpg,"Bob Ross painting a Buzz Lightyear toy on canvas, with mountains and trees in the background."
0.42811626,0.75430095,0.256106014251709,train/00003895.jpg,Mona Lisa by Leonardo da Vinci in oil on canvas.
0.8165837,0.3556549,0.2595768928527832,train/00003901.jpg,A man riding skis down the side of a snow covered ski slope.
0.31131178,0.44534352,0.26662311553955076,train/00003914.jpg,A scifi space rocket fires from a launch platform with engine exhaust creating a dynamic landscape.
0.4419232,0.80858475,0.2815766906738281,train/00003946.jpg,"A close-up photorealistic portrait of April, the female character from videogame The Longest Journey."
0.09707685,0.33563554,0.25467071533203123,train/00004075.jpg,A tree in the desert depicted in an airbrush painting by Breyten Breytenbach with a detailed sand pattern.
0.4885415,0.15146294,0.24883686065673827,train/00004169.jpg,"A kitchen area with dove, microwave and dishwasher."
0.47641554,0.8056601,0.27393379211425783,train/00004247.jpg,Wallsize painting of an Amazon warrior goddess.
0.20275478,0.3461259,0.26124324798583987,train/00004306.jpg,"Knights on horseback overlook a walled fort city with deteriorating buildings and a forest backdrop, inspired by the post-apocalyptic aesthetic in oil on canvas."
0.40986222,0.6332164,0.2734773445129395,train/00004350.jpg,Photo of Suki from Avatar: The Last Airbender.
0.5195782,0.86378706,0.28517210006713867,train/00004419.jpg,"White lioness with tribal peacock feather headdress and flowers, in a detailed magical realism painting."
0.46388826,0.5463122,0.2672633171081543,train/00004430.jpg,A detailed giant monster god with a frozen tundra background by several artists.
0.4352995,0.22070442,0.269070987701416,train/00004715.jpg,"A glass of campaign sitting on a table, ready to be served."
0.48970038,0.39152944,0.23599428176879883,train/00004839.jpg,Goro Fujita illustrates an underground rabbit house with interconnected labyrinths.
0.47421643,0.13698708,0.25723426818847656,train/00005081.jpg,A kitchen with orange walls and a sink filled up
0.4300153,0.7216014,0.24093629837036132,train/00005184.jpg,Portrait of Darth Vader in shades of grey and red by Jeremy Mann.
0.9625162,0.4212191,0.2530423927307129,train/00005201.jpg,A plane that is flying high above the power lines.
0.58811295,0.6807515,0.2910549926757813,train/00005343.jpg,A portrait of a crossfit bodybuilder sprinter dressed in a red and black futuristic costume with painted art by various artists.
0.30689442,0.5228756,0.25902584075927737,train/00005414.jpg,A digital painting of an elegant elemental entity with vivid colors and high contrast.
0.932711,0.3820987,0.2854254150390625,train/00005416.jpg,Two small planes parked in an open grassy field.
0.40158585,0.85436064,0.26302331924438477,train/00005442.jpg,"A cyberpunk-style illustration of a young Black woman with a Blade Runner city background, created by Gustav Klimt."
0.6344232,0.41504368,0.2773126602172852,train/00005541.jpg,"A white anthro cat sitting on a light blue couch against a digital art background, posted on r/furry."
0.24682267,0.9734299,0.2694746208190918,train/00005650.jpg,A girl in a suit holds a huge rose flower under her head in a surreal photograph reminiscent of impressionist and digital paintings by Simon Stålenhag on ArtStation.
0.3637261,0.7795157,0.2179827880859375,train/00005736.jpg,"A digital painting of the ""Goddess of Russia"" in a highly detailed and smooth style, featuring concept art by artgerm, Greg Rutkowski, and Edgar Maxence, created using Unreal Engine 5 and posted on ArtStation."
0.1232378,0.3629243,0.2513576126098633,train/00005773.jpg,"A landscape painting by Monet depicting a pine tree forest, a lake with kayaks, a stream, and grassy hills with trees, in dramatic lighting."
0.64400244,0.42970383,0.28463489532470704,train/00005898.jpg,A maincoon cat surrounded by green leaves in the style of Mantegna.
0.6345846,0.7057431,0.27390968322753906,train/00006062.jpg,Undead mage lord sitting on scarab in dramatic lighting.
0.4051037,0.22137001,0.27406131744384765,train/00006133.jpg,A laptop with legs viewed from below.
0.39004672,0.9308036,0.27828254699707033,train/00006199.jpg,"Pin-up model dressed in a post war military uniform standing in front of a park, painted in a watercolor style resembling Gil Elvgren's art."
0.4025747,0.84574294,0.2547361183166504,train/00006241.jpg,Portrait of a pretty face in a post-apocalyptic steampunk setting with a destroyed city background.
0.48700586,0.6645879,0.27892604827880857,train/00006297.jpg,"A highly-detailed digital painting of a lich, a fantasy creature, in a portrait-style, created by multiple artists."
0.3826296,0.63216317,0.25670528411865234,train/00006342.jpg,Elijah Wood in Spykids 3D.
0.5310809,0.26666325,0.2647930908203125,train/00006375.jpg,A man stands in front of a large mirror in the bathroom.
0.4213623,0.04975402,0.27604175567626954,train/00006379.jpg,A bathroom with a freestanding tub and two sinks.
0.59684896,0.8284113,0.28807634353637696,train/00006517.jpg,A damaged female spec ops cyborg is being repaired in a futuristic military medical bay with cables hanging from the ceiling and floor.
0.5977393,0.82727486,0.2824222373962402,train/00006519.jpg,A damaged female spec ops cyborg is being repaired in a futuristic military medical bay with cables hanging from the ceiling and floor.
0.3375983,0.92710423,0.25589174270629883,train/00006540.jpg,An anime-style 3D poster featuring two schoolgirls in maid outfits hugging inside a car in a foggy parking lot.
0.26640955,0.5757094,0.26763715744018557,train/00006718.jpg,"Motherhood depicted by Disney concept artists with distinct borders, following the rule of thirds."
0.09494953,0.7456735,0.26948028564453125,train/00006769.jpg,A volcano made of ivory vines and crimson rocks erupts with demonic eye-shaped smoke.
0.26070407,0.42065108,0.2523698425292969,train/00006957.jpg,The image features a dieselpunk city with vehicles and a monorail.
0.39042622,0.4663138,0.2903388214111328,train/00007042.jpg,A portal machine that leads to Sonic's world.
0.3512781,0.04585224,0.2634516906738281,train/00007102.jpg,A toilet is next to a tan wall in a bathroom. 
0.5280407,0.8403169,0.2763127899169922,train/00007137.jpg,A concept art painting by Hsiao-Ron Cheng featuring a kaleidoscope art deco pattern of blonde faces goddesses and amalgamation flowers.
0.40084153,0.045277324,0.2670741081237793,train/00007162.jpg,An unusual shower and tub combination in a colorful bathroom.
0.43901706,0.88257813,0.2882238960266113,train/00007203.jpg,An oil painting of a sad anime clown girl created with a palette knife and brush strokes.
0.84085923,0.24870282,0.28472620010375976,train/00007223.jpg,Men standing near motorcycles parked outside near a building.
